,address,name,online_order,book_table,rating,votes,location,cuisines,cost_per_person,type_of_restaurant
1790,"Shop 2, Ground Floor, 2nd Phase, Opposite, R.V Dental college, Maranahallie, JP Nagar, Bangalore",Udupi Park Inn,No,No,0.0,0,JP Nagar,"South Indian, North Indian, Chinese",75.0,Delivery
1791,"11, 2nd Floor, 14th Main, Puttenahalli Road, Kothnur Main Road, Beside Brigade Millenium, 7th Stage, JP Nagar, Bangalore",Thirsty Tiger,No,Yes,3.5,51,JP Nagar,"Continental, Finger Food",650.0,Delivery
1792,"#23 C, 7th Main road, 2nd Stage, BTM, Bangalore",Bay Root,No,No,3.7,24,BTM,"North Indian, Arabian",200.0,Delivery
1793,"Vaibhavi Complex, 4th Main, NS Palya, 2nd Stage, BTM, Bangalore",BTM Cakes,Yes,No,3.3,8,BTM,"Bakery, Desserts",200.0,Delivery
1794,"9th Cross, 3rd Phase, Opposite to Sneha Dentel Care, JP Nagar, Bangalore",Spicy World,Yes,No,3.4,7,JP Nagar,North Indian,100.0,Delivery
1796,"3rd Floor, Vega City Mall, Jedi Mara Circle, Bannerghatta Road, Bangalore 560 076.",Shiv Sagar,No,No,3.6,10,Bannerghatta Road,"South Indian, Beverages",200.0,Delivery
1797,"Teja Complex, 2nd Floor, 30th Main Road, 9th Cross Jayanagar, B.B.M.P South, JP Nagar, Bangalore",Moms Flavor,No,No,0.0,0,JP Nagar,"North Indian, Chinese",200.0,Delivery
1798,"795, 8th Main, 3rd Phase, JP Nagar, Bangalore",Kamat Swaad,Yes,No,3.9,193,JP Nagar,"South Indian, North Indian, Chinese",200.0,Delivery
1799,"26/2, Dodda Kammanahalli, Bannerghatta Road, Bangalore",Ishta Cafe,Yes,No,3.9,63,Bannerghatta Road,"Pizza, South Indian, Healthy Food",100.0,Delivery
1800,"Near Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Combo Studio,Yes,No,3.1,16,Bannerghatta Road,"North Indian, Biryani, Chinese",250.0,Delivery
1801,"Shop 31, Ground Floor, R R Complex, Begur Hulimavu Road, Opposite Village Hypermarket, Akshay Nagar, Bannerghatta Road, Bangalore",Tastte!!,Yes,No,3.7,21,Bannerghatta Road,"Biryani, North Indian, Chinese",225.0,Delivery
1802,"1, CVS Reddy Building, Arakere Main Road, Near Muthut Finance, Bannerghatta Road, Bangalore",Kanhaiyas,Yes,No,3.6,10,Bannerghatta Road,South Indian,75.0,Delivery
1803,"439, Ground Floor, Near Poorvika Showroom, 6th Main, 7th Cross, Mico Layout, Stage 2, BTM, Bangalore",Juice Lounge,Yes,No,3.1,28,BTM,"Beverages, Healthy Food",125.0,Delivery
1804,"Arshiya Lake View Residency, Mahadeshwara Nagar, Stage 2, BTM",Sri Krishna Delight,Yes,No,0.0,0,BTM,"North Indian, South Indian",125.0,Delivery
1805,"Near Bank Of India ATM, Ramka Colony, Bilekahalli, Marathahalli, Bangalore",Mumbai Kulfi,Yes,No,0.0,0,Marathahalli,"Desserts, Ice Cream",100.0,Delivery
1806,"14, Tank Shore Road, Kuvempu Nagar, Stage 2, BTM Layout, Bangalore",Tandoor Nation,Yes,No,3.0,39,BTM,"North Indian, Chinese",200.0,Delivery
1807,"242, 7th Main, Mico Layout, BTM, Bangalore",Indian Kitchen Eateries-IKE,Yes,No,3.4,8,BTM,Fast Food,75.0,Delivery
1808,"Shop 397, Gottigere, Bannerghatta Road, Bangalore",South Mouth,Yes,No,0.0,0,Bannerghatta Road,"North Indian, Fast Food",150.0,Delivery
1809,"21, 22, Saifee Apartment, 5th Cross, 22nd Main, Near Rizwan Mazjid, Vinayaka Nagar, 5th Phase, JP Nagar",The Little Kitchen,Yes,No,3.4,8,JP Nagar,"Chinese, North Indian",150.0,Delivery
1810,"1599, Begur Cross, Devarachikanahalli Main Road, Bommanahalli, Bangalore",Diya's Findish,Yes,No,3.3,6,Bommanahalli,"North Indian, Chinese, Bengali",250.0,Delivery
1811,"16th Main Road, 1st Stage, 1st Phase, BTM, Bangalore",Best Shawarmas,Yes,No,0.0,0,BTM,Rolls,150.0,Delivery
1812,"Dr BR Ambedkar Road, Ramanashree Enclave,Behind Shanthiniketan School, Billekahalli, Bannerghatta Road, Bangalore",Laa Raiba Restaurant,Yes,No,3.3,7,Bannerghatta Road,"Kerala, Chinese, South Indian",150.0,Delivery
1813,"1st Cross Road, Panduranga Nagar, Bannerghatta Road, Bengaluru",Bhavani Upahara,Yes,No,3.3,9,Bannerghatta Road,South Indian,125.0,Delivery
1814,"Hotel Crystal Castle, 294/10, 24th Main, 5th Phase, JP Nagar, Bangalore",Sampoorna,Yes,No,3.6,70,JP Nagar,"Chinese, North Indian",300.0,Delivery
1815,"1346, Marenahalli Road, KSRTC Layout, Near Bangalore Central Mall, 2nd Phase, JP Nagar, Bangalore",Cafe Mist,Yes,No,3.8,186,JP Nagar,"Cafe, American, Continental, Italian",250.0,Delivery
1816,"Bannerghatta Road, Bangalore",Fat Chef Biryani Wale,Yes,No,3.3,28,Bannerghatta Road,"Biryani, North Indian",200.0,Delivery
1817,"6, 1st Cross, 2nd Main Road, Navodaya Nagar, 7th Phase, JP Nagar, Bangalore",Kesar Restaurant,Yes,No,3.6,48,JP Nagar,"North Indian, Chinese, South Indian",100.0,Delivery
1818,"1260, SY 35/4 SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",Hottey Smokey,Yes,No,0.0,0,JP Nagar,"American, Continental, Salad, Italian",200.0,Delivery
1819,"Kitchens@, No. 19,35/4, 24th Main, JP Nagar 7th Phase, Puttenahalli, JP Nagar, Bangalore",The Duke of Juices,Yes,No,0.0,0,JP Nagar,"Juices, Beverages, Salad",100.0,Delivery
1820,"Kitchens@, No. 19,35/4, 24th Main, JP Nagar 7th Phase, Puttenahalli, JP Nagar, Bangalore",Kababji Cafe,Yes,No,0.0,0,JP Nagar,"Arabian, Middle Eastern, Rolls",150.0,Delivery
1821,"139, 72nd Cross, Kumaraswamy Layout, Banashankari, Bangalore",Navab's,Yes,No,0.0,0,Kumaraswamy Layout,"North Indian, Chinese",300.0,Delivery
1822,"1260, SY 35/4 SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",Bottle Genie,Yes,No,0.0,0,JP Nagar,Beverages,125.0,Delivery
1823,"Number 63, 1551, 7th Cross Road, RK Colony, Near Post Office, JP Nagar, Bangalore",Chawla's 2 Online.com,Yes,No,3.5,5,JP Nagar,North Indian,400.0,Delivery
1824,"Shop 1, Site 23/4, Chamundeshwari Complex, Chamundeshwari Layout, Shanthinikethan Main Road, Arekere, Bannerghatta Road, Bangalore",Namma Halli Jonne Biryani,Yes,No,3.3,4,Bannerghatta Road,Biryani,150.0,Delivery
1825,"52, 1st Floor, 3rd Cross, Arkere Omkar Nagar Ark gate, Near Reliance Store, Bannerghatta Road, Bangalore",Shake The Shake,Yes,No,0.0,0,Bannerghatta Road,Juices,100.0,Delivery
1826,"295, 21st Main, 3rd Cross, 2nd Stage, BTM, Bangalore",The Biriyani Factory,Yes,No,3.1,29,BTM,"North Indian, Biryani",250.0,Delivery
1827,"63, 1551, 7th Cross Road, RK Colony, Near Post Office, 1st Phase, JP Nagar, Bangalore",Sethi's,Yes,No,0.0,0,JP Nagar,"North Indian, Chinese, BBQ",300.0,Delivery
1828,"63, 1551, 7th Cross Road, RK Colony, 1st Phase, Near Post Office, JP Nagar, Bangalore",Food Singh,Yes,No,0.0,0,JP Nagar,North Indian,250.0,Delivery
1829,"18, 7th Main Road, NS Palya, Stage 2, BTM, Bangalore",Insta Cafe,Yes,No,2.9,7,BTM,"Cafe, Continental, Pizza, Italian, Beverages",200.0,Delivery
1830,"63, 1551, 7th Cross Road, Near Post Office, RK Colony, 1st Phase, JP Nagar, Bangalore",Chination,Yes,No,0.0,0,JP Nagar,Chinese,300.0,Delivery
1831,"115, 7th Cross, Bilekehalli, Bannerghatta Road, Bangalore",The Breakfast Adda,Yes,No,0.0,0,Bannerghatta Road,Continental,125.0,Delivery
1832,"31, Near Corporation Bank, 60 Feet Road, Panduranga Nagar, Bannerghatta Road, Bangalore",Natural Ice Cream,No,No,4.3,423,Bannerghatta Road,"Ice Cream, Desserts",75.0,Desserts
1833,"7, Near RTO, Opposite Nano Hospital, 80 Feet Road, Bannerghatta Road, Bangalore",Amma's Pastries,No,No,4.0,102,Bannerghatta Road,Bakery,200.0,Desserts
1834,"Opposite Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Anand Sweets and Savouries,No,No,4.1,131,Bannerghatta Road,"Mithai, Street Food",200.0,Desserts
1835,"989, Ambika Corner, DC Road, Off Bannerghatta Road, Bilekahalli, Bannerghatta Road, Bangalore",Bread Crumbs Bakery,No,No,4.0,164,Bannerghatta Road,"Desserts, Bakery",125.0,Desserts
1836,"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,Yes,No,3.9,102,Bannerghatta Road,"Cafe, Bakery, Beverages",225.0,Desserts
1837,"DLF Westend Heights, Akshaya Nagar, Bannerghatta Road, Bangalore",Cakes By M,No,No,3.4,7,Bannerghatta Road,Bakery,250.0,Desserts
1838,"1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Bannerghatta Road, Bangalore",Cakebuy,Yes,No,3.9,70,Bannerghatta Road,Desserts,175.0,Desserts
1839,"71, 1st Main Road, Panduranga Nagar, Doresanipalya Ward, Bannerghatta Road, Bangalore",Polar Bear,Yes,No,3.9,188,Bannerghatta Road,"Ice Cream, Desserts, Beverages, Sandwich",200.0,Desserts
1840,"Mahadheshwara Swami Nilaya, 1/2, 1st Floor, DLF Circle Main Road, Near Akshaynagar, Yelenahalli, Bannerghatta Road, Bangalore",World on a Swirl,No,No,3.8,46,Bannerghatta Road,"Ice Cream, Desserts, Rolls",150.0,Desserts
1841,"Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Waffle Walle,Yes,No,4.4,677,Bannerghatta Road,"Desserts, Belgian, Beverages",250.0,Desserts
1842,"3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",WAFL,Yes,No,3.9,40,Bannerghatta Road,"Cafe, Fast Food, Desserts, Beverages",200.0,Desserts
1843,"3, Third Floor, Vega City Mall, Bannerghatta Road, Bangalore",Cold Stone Creamery,Yes,No,3.9,99,Bannerghatta Road,"Ice Cream, Desserts",200.0,Desserts
1844,"Arjun Aura Apartment, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Flavorsome Bakes,No,No,4.0,93,Bannerghatta Road,"Bakery, Desserts",400.0,Desserts
1845,"973, 6th Cross, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Bake-ooh,No,No,3.7,17,Bannerghatta Road,Bakery,175.0,Desserts
1846,"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8,69,Bannerghatta Road,"Cafe, Bakery",350.0,Desserts
1847,"172/1, 2nd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Krispy Kreme,Yes,No,3.7,14,Bannerghatta Road,"Desserts, Beverages",150.0,Desserts
1848,"172/1, GF K 03, Kiosk Unit, Vega City Mall, Srinivas Industrial Estate, Bilekahalli, Bannerghatta Road, Bangalore",Smoor,Yes,No,3.6,18,Bannerghatta Road,"Desserts, Cafe, Beverages",450.0,Desserts
1849,"No. 4, Arakere Village, Begur Hobli,Bannerghatta Road, opp. Reliance mart, Bengaluru-560078",Kanti Sweets,Yes,No,3.5,13,Bannerghatta Road,"Mithai, Street Food",200.0,Desserts
1850,"Upper Ground Floor, 424/376/487 SYNO 63, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Keventers,Yes,No,3.8,29,Bannerghatta Road,"Desserts, Beverages, Ice Cream",200.0,Desserts
1851,"Ground Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Baskin Robbins,No,No,3.6,22,Bannerghatta Road,"Ice Cream, Desserts",125.0,Desserts
1852,"DLF Newton, Akshay Nagar, Bannerghatta Road, Bangalore",Lassi Shop,No,No,3.7,54,Bannerghatta Road,"Beverages, Ice Cream",100.0,Desserts
1853,"13, Arekere Gate, Bannerghatta Road, Bangalore",L J Iyengar Bakery,No,No,3.2,6,Bannerghatta Road,Bakery,50.0,Desserts
1854,"8A, NS Palya, Near to Girias, Bannerghatta Main Road, Bangalore",Nandhana Mithai,No,No,0.0,0,Bannerghatta Road,"Mithai, Desserts",250.0,Desserts
1855,"Food Court, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Ice Bowl,No,No,3.4,8,Bannerghatta Road,"Desserts, Beverages",125.0,Desserts
1856,"3/7, N.G.R Complex, Arekere Main Road, Bannerghatta Road, Bangalore",Lyengar's Cakes N Cookies,Yes,No,0.0,0,Bannerghatta Road,"Bakery, Desserts",200.0,Desserts
1857,"10, Ground Floor, Arakere Gate, Bannerghatta Road, Bangalore",Just Bake,Yes,No,3.2,46,Bannerghatta Road,"Bakery, Desserts",200.0,Desserts
1858,"116, Royal Residency, Near Sai Baba Temple, Bannerghatta Road, Bangalore",Big Mishra Pedha,Yes,No,3.3,7,Bannerghatta Road,"Mithai, Desserts, Fast Food",150.0,Desserts
1859,"18/2, Opposite To Reliance Mart, Arakere Gate, Bannerghatta Road, Bangalore",Sweet Chariot,Yes,No,2.8,25,Bannerghatta Road,"Bakery, Desserts, Fast Food",250.0,Desserts
1860,"Opposite Reliance Mart, Bannerghatta Road, Bangalore",The French Loaf,Yes,No,2.9,25,Bannerghatta Road,"Bakery, Desserts, Sandwich",200.0,Desserts
1861,"86, 5th Main Road, Arekere MICO Layout 2nd stage, Bannerghatta Road, Bangalore",Bikaneri Sweets,Yes,No,3.4,19,Bannerghatta Road,"Mithai, Street Food",125.0,Desserts
1862,"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",Sweet Truth,Yes,No,4.1,41,Bannerghatta Road,"Bakery, Desserts",250.0,Desserts
1863,"2nd Floor, Gopalan Mall, Bannerghatta Road, Bangalore",Ooty Dreams,No,No,0.0,0,Bannerghatta Road,"Desserts, Ice Cream",125.0,Desserts
1864,"Akshayvana Complex, Akshay Nagar Main Road, Near DLF, Bannerghatta Road, Bangalore",K.C Das,No,No,3.4,8,Bannerghatta Road,"Mithai, Street Food",100.0,Desserts
1865,"6, 60 Feet Road, Bilekahalli, Near Vijaya Bank Apartment, Bannerghatta Road, Bangalore",Bake Feast,No,No,0.0,0,Bannerghatta Road,Bakery,150.0,Desserts
1866,"Ground Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Cakeport,Yes,No,0.0,0,Bannerghatta Road,Bakery,200.0,Desserts
1867,"38, Opposite to SBI Bank, Near Village Hyper Market, Akshay Nagar, Bannerghatta Road, Bangalore",TFI - The Fresh Ice Cream,Yes,No,3.2,41,Bannerghatta Road,"Ice Cream, Beverages",200.0,Desserts
1868,"3rd Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Mad Over Donuts,Yes,No,3.1,17,Bannerghatta Road,"Bakery, Desserts, Beverages",225.0,Desserts
1869,"Opposite IIMB, Krishnaraju Layout, Sundar Ram Shetty Nagar, Bilekahalli Bannerghatta Road, Bangalore",Antilla Aromas,Yes,No,3.7,19,Bannerghatta Road,"Desserts, Ice Cream",150.0,Desserts
1870,"267, 10th Main, Shantiniketan Layout, 80 Feet Road, Sai Baba Temple road, Arakere, Bannerghatta Road, Bangalore",Chef Baker's,Yes,No,3.6,23,Bannerghatta Road,Bakery,225.0,Desserts
1871,"Shop 1 and 2, NGR Complex, Bannerghatta Road, Bangalore",Iyengar's Cakes and Cookies,No,No,0.0,0,Bannerghatta Road,Bakery,100.0,Desserts
1872,"QSR -1, 3rd Floor, Vega City Mall, Bannerghatta Road, Bangalore",Mist n Creams,No,No,3.6,10,Bannerghatta Road,Ice Cream,200.0,Desserts
1873,"3rd Floor, Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Mr Gola,No,No,3.4,8,Bannerghatta Road,Desserts,50.0,Desserts
1874,"203/103/60, Near Yelenahalli, Begur to koppa Road, Begur Hobli, Bannerghatta Road, Bangalore",Just Bake,No,No,0.0,0,Bannerghatta Road,"Bakery, Desserts",200.0,Desserts
1875,"Ground Floor, Commerce@Mantri, N S Palya, Bannerghatta Road, Bangalore",Chocolate Junction,No,No,0.0,0,Bannerghatta Road,Desserts,100.0,Desserts
1876,"4, 600/676, Bharath Industrial Estate, Bannerghatta Road, Bangalore",Orchard Fresh,No,No,0.0,0,Bannerghatta Road,"Ice Cream, Desserts",200.0,Desserts
1877,"4th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",Rock On Rolls & Parathas,No,No,0.0,0,Bannerghatta Road,Rolls,125.0,Desserts
1878,"Amoda Valmark Central Excise Layout, Phase 2, Tejaswini Nagar, Dodda Kamanahalli Area, Bannerghatta Road",Cake-O-Mania,Yes,No,3.4,7,Bannerghatta Road,"Bakery, Desserts",150.0,Desserts
1879,"1058, Shobha Arcade, Vijay Bank Colony, Bilekahalli, Bannerghatta Road, Bangalore",Kanti Bakes & Flakes,Yes,No,0.0,0,Bannerghatta Road,"Desserts, Mithai",150.0,Desserts
1880,"Third Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",The Chocolatiers,No,No,3.5,14,Bannerghatta Road,Desserts,75.0,Desserts
1881,"1&2 Pai Layout, Hulimavu, Bannerghatta Main Road, Next to Christ University, Bannerghatta Road, Bangalore",Cafe Indiana,No,No,3.5,17,Bannerghatta Road,"Fast Food, Desserts",300.0,Desserts
1882,"Location Varies, Bangalore",Frosty Creams,No,No,3.7,13,South Bangalore,"Ice Cream, Desserts",150.0,Desserts
1883,"A-3, Ranka Colony Road, Bilakhalli, Bannerghatta Road",Cafe Choco Craze,No,No,3.7,9,Bannerghatta Road,"Cafe, Fast Food, Desserts",200.0,Desserts
1884,"5 Sri Basavasai, Nilaya, Kodichikkanahalli Road, Opposite Sana Super Market, Bilekahalli, BG Road, Bannerghatta Road, Bangalore",Bombay Kulfis,No,No,0.0,0,Bannerghatta Road,Ice Cream,100.0,Desserts
1885,"QSR -1, 3rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Squeez Juice Bars,No,No,3.1,9,Bannerghatta Road,"Ice Cream, Juices",125.0,Desserts
1886,"4th Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Kulfi Adda,No,No,3.4,5,Bannerghatta Road,"Ice Cream, Desserts",75.0,Desserts
1887,"Mantri Elegance, BTM 2nd Stage, NS Palya, Bannerghatta Road, Bangalore",The Sandesh Factory,No,No,3.2,4,Bannerghatta Road,"Mithai, Desserts",75.0,Desserts
1888,"441/ A, Bilekahalli, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Adi's Cake N Cafe,No,No,0.0,0,Bannerghatta Road,Bakery,200.0,Desserts
1889,"1, Opposite SNN Raj Serenity, Koppa Main Road, Yelanahalli, Begur, Bannerghatta Road, Bangalore",D Fusion,No,No,0.0,0,Bannerghatta Road,"Fast Food, Chinese",200.0,Desserts
1890,"39/3 & 44, Food Parade, Spar Hyper Market, Near Dairy Circle, Bannerghatta Road, Bangalore",Food Prade Dairy Delight,No,No,0.0,0,Bannerghatta Road,Desserts,150.0,Desserts
1891,"141st Main, 9th Cross, S G Palya-Tavarekare Main Road, Bannerghatta Road, Bangalore",The Right Moo Organic Icecreams,No,No,0.0,0,Bannerghatta Road,Desserts,150.0,Desserts
1892,"Rangaiah Building, Begur, Koppa Road, Yelenahalli, Bannerghatta Road, Bangalore",Bread & Better,No,No,0.0,0,Bannerghatta Road,"Bakery, Fast Food",25.0,Desserts
1893,"Begur - Hulimavu Road, Akshaya Gardens, Bannerghatta Road, Bangalore",Me And My Cake,No,No,0.0,0,Bannerghatta Road,"Bakery, Desserts",250.0,Desserts
1894,"Manpho Pavilion, Ranka Colony Road, Bilekahalli, Bannerghatta Road",Kopper Pot,No,No,0.0,0,Bannerghatta Road,Bakery,250.0,Desserts
1895,"Number 9, Bannerghatta Main Road, H Block, Nobo Nagar, Kalena Agrahara, Bengaluru",Little Sweetooth,No,No,0.0,0,Bannerghatta Road,Bakery,150.0,Desserts
1896,"Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Bowring Kulfi,No,No,0.0,0,Bannerghatta Road,"Ice Cream, Desserts",75.0,Desserts
1897,"172/1, 3rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Smooth,No,No,0.0,0,Bannerghatta Road,"Desserts, Ice Cream",100.0,Desserts
1898,"524, 60 Feet Road,Vijaya Bank Layout, Opposite Police Station, Belekahalli, Bannerghatta Road, Bangalore",Cafe Coffee Day,Yes,No,3.7,26,Bannerghatta Road,"Cafe, Fast Food",450.0,Desserts
1899,"1st Floor, Vega City Mall, Srinivas Industrial Estate, Bilekahalli, Bannerghatta Road, Bangalore",Cookie Man,Yes,No,0.0,0,Bannerghatta Road,Bakery,75.0,Desserts
1900,"1065, 13th Cross, 6th Main, Kodichikanahalli, Vijay Bank Colony, Bannerghatta Road, Bangalore",Multi Cakes,No,No,3.0,9,Bannerghatta Road,"Bakery, Desserts",100.0,Desserts
1901,"Oracle Mantri, Commerce @ Mantri-4, 12/1 and 2, MS Palya, Bannerghatta Road, Bangalore",Oven Fresh,No,No,0.0,0,Bannerghatta Road,"Bakery, Fast Food",300.0,Desserts
1902,"No 19/3C, Next to Krishna Kuteera Restaurant ,Avani Shringeri Nagar, Near Nano Hospital, Begur Hobli, Bangalore, Bannerghatta Road, Bangalore",Asharfilal,Yes,No,3.5,10,Bannerghatta Road,Desserts,75.0,Desserts
1903,"1065 B, 5th Cross, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",Apsara Ice Cream,No,No,4.0,65,Bannerghatta Road,"Ice Cream, Desserts",100.0,Desserts
1904,"39, 15th Cross, Besides HDFC Bank, 4th Phase, JP Nagar, Bangalore",Two Friends Cauldron,Yes,Yes,4.1,448,JP Nagar,"Continental, Italian, American",350.0,Desserts
1905,"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1,46,JP Nagar,"Cafe, Sandwich, Burger",300.0,Desserts
1906,"99/4, Nataraja Layout, 7th Phase, JP Nagar, Bangalore",Mango Greens,No,Yes,3.9,48,JP Nagar,"North Indian, Continental, Chinese",450.0,Desserts
1907,"103/25, 2nd Main Road, Puttenhalli, 7th Phase, JP Nagar, Bangalore",Dream a Dozen,Yes,No,4.3,132,JP Nagar,"Bakery, Desserts",150.0,Desserts
1908,"97, Wilson Garden Housing Society, 7th Phase, JP Nagar, Bangalore",Cafe Zuppa,Yes,No,0.0,0,JP Nagar,"Cafe, Pizza, Fast Food",225.0,Desserts
1909,"10, Ground Floor, 24th Main, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore",Roll Over,Yes,No,4.1,237,JP Nagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",250.0,Desserts
1910,"290, 15th Cross, 5th phase, JP Nagar, Bangalore",Stoned Monkey,Yes,No,3.9,239,JP Nagar,"Desserts, Ice Cream",250.0,Desserts
1911,"8, 15th Main, 5th Phase, JP Nagar, Bangalore",TAB - Take A Break,No,No,4.1,521,JP Nagar,"Cafe, Continental, Italian",275.0,Desserts
1912,"15, Ground Floor, 24th Main Road, JP Nagar, Bangalore",Amma's Pastries,No,No,3.6,11,JP Nagar,Desserts,200.0,Desserts
1913,"690/A, 14th Main, 15th Cross, 2nd Phase, JP Nagar, Bangalore",Cakes And Crumbs,No,No,3.4,8,JP Nagar,Bakery,175.0,Desserts
1914,"303, USR, 1st Main Road, 7th Phase, Lakshmi Nagar, JP Nagar, Bangalore",Cafe Hops,No,No,3.7,24,JP Nagar,"Desserts, Bakery",150.0,Desserts
1915,"312, 15th Cross, 5th Phase, JP Nagar, Bangalore",Cream Stone,No,No,4.0,319,JP Nagar,"Desserts, Beverages",250.0,Desserts
1916,"12, 24th Main Road, Opposite Bindhya Residency, 5th Phase, JP Nagar, Bangalore",The Cake Zone,No,No,0.0,0,JP Nagar,Bakery,100.0,Desserts
1917,"1231/35/2, 24th Main, Opposite Brigade Palm Springs, 7th Phase, JP Nagar, Bangalore",Berrylicious,Yes,No,3.8,89,JP Nagar,"Ice Cream, Desserts, Bakery",200.0,Desserts
1918,"135/5, 15th Cross, 3rd Stage, JP Nagar, Bangalore",Daily Bread,No,No,3.2,63,JP Nagar,"Bakery, Fast Food, Italian",300.0,Desserts
1919,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",CakeZone,Yes,No,3.7,13,JP Nagar,"Bakery, Desserts",100.0,Desserts
1920,"313, 24th Main Road, 6th Phase, JP Nagar, Bangalore",Papacream,Yes,No,3.7,17,JP Nagar,"Desserts, Ice Cream",175.0,Desserts
1921,"342, 16th Cross Road, 5th Phase, JP Nagar, Bangalore",Venkateshwara Sweets and Restaurant,No,No,3.6,40,JP Nagar,"South Indian, Mithai, Chinese, North Indian",200.0,Desserts
1922,"67, 15th Cross, 3rd Phase, JP Nagar, Bangalore",Calvin's,No,No,2.9,231,JP Nagar,"Desserts, Italian, Pizza",400.0,Desserts
1923,"449, 9th Cross, 2nd Phase, JP Nagar, Bangalore",Mr. Meetharam,Yes,No,3.2,34,JP Nagar,"Mithai, Street Food",75.0,Desserts
1924,"Quality Inn - Shravanthi, 60, 13th Cross, 2nd Main, 3rd Phase, JP Nagar, Bangalore",Mini Forest,No,No,3.3,6,JP Nagar,"Fast Food, Desserts",250.0,Desserts
1925,"77, 1st Main, Opposite Big Bazaar, 7th Phase, JP Nagar, Bangalore",Kulfi & More,No,No,3.3,4,JP Nagar,"Ice Cream, Desserts, Juices",75.0,Desserts
1926,"15, Ground Floor, MN Complex, Near Brigade Millenium, 7th Phase, JP Nagar, Bangalore",The Cake Ville,Yes,No,3.2,18,JP Nagar,"Bakery, Desserts, Fast Food",150.0,Desserts
1927,"59/60, Near Big Bazaar, Opposite Appollo Clinic, 7th Phase, JP Nagar, Bangalore",Delhi Sweets,No,No,3.1,10,JP Nagar,"Street Food, Mithai",50.0,Desserts
1928,"Sarrakari Kare,18th Cross,24th Main, 6th Phase, JP Nagar, Bangalore",Cakeship,No,No,0.0,0,JP Nagar,"Bakery, Desserts",100.0,Desserts
1929,"2, South R complex, Oppsite to L&T South City, Arekere MICO Layout 2nd stage, South City, Phase 7, JP Nagar",Sweet Melts,No,No,0.0,0,JP Nagar,"Desserts, Ice Cream",200.0,Desserts
1930,"55, 19th Main, 15th Cross, Outer Ring Road, Phase 2, JP Nagar, Bangalore",Frozen Bottle,Yes,No,3.6,59,JP Nagar,"Beverages, Desserts, Ice Cream",200.0,Desserts
1931,"Near Brigade Millennium, 7th Phase, JP Nagar, Bangalore",Bombay Kulfi,Yes,No,3.7,41,JP Nagar,"Desserts, Ice Cream",75.0,Desserts
1932,"647, 5th Main Road, RBI Layout, 7th Phase, Opposite Elita Promenade, JP Nagar, Bangalore",Havmor,Yes,No,3.5,21,JP Nagar,"Ice Cream, Desserts",100.0,Desserts
1933,"45, 14th Main, 7th Phase, Puttehahalli Palya, Opposite Of Samsung Smart Cafe, JP Nagar, Bangalore",INDULGE by InnerChef,Yes,No,0.0,0,JP Nagar,"Desserts, Bakery",200.0,Desserts
1934,"12, 3rd Floor, 15th Main 17th Cross, Rose Garden Road, JP Nagar 5th Phase, Bangalore",Cake N Cookies,No,No,0.0,0,JP Nagar,Bakery,175.0,Desserts
